가게이름,리뷰내용,리뷰별점
가메골손왕만두 남대문본점,맛있어요ㅠㅠ 근데 박스가 그 전엔 만두 수증기땜에 엄청 튼튼한걸 쓰시더니 이제 매우 얇아져서 집에 포장해서 오니까 박스가 흐물흐물해졌어요! 그치만 맛있으니까 괜찮아요...,4
가메골손왕만두 남대문본점,시장에서 만든 만두치고는  양 + 맛    양호,3
가메골손왕만두 남대문본점,특별히 맛있진 않고 그냥 그래요,3
가메골손왕만두 남대문본점,"만두 존맛이에요
칼국수는 그냥 그래요",5
가메골손왕만두 남대문본점,"저도 얇은피만두 좋아하는데
이집만두는 피가 두꺼워도 맛있어요.
고기만두보다 김치만두를 훨씬 좋아하는데
김치만두 맛있고 고기만두도 맛있네요.

만두덕후인데 맛집 인정합니다",5
가메골손왕만두 남대문본점,얇은만두만 좋아하고 왕만두 안 먹는데 여기 거는 유일하게 먹어요,5
가메골손왕만두 남대문본점,고기왕만두 맛있어요!,4
가메골손왕만두 남대문본점,지나가다 고기만두 3개 사먹었는데 ... 오밤중에 갑자기 다시 생각나 리뷰남김.,5
가메골손왕만두 남대문본점,아이들이 좋아해서 가끔 포장해가요. 칼국수는 보통,4
가메골손왕만두 남대문본점,"서울역 내려서 만두먹고 ㅠㅠ
갈때 또 먹고 포장까지 해왔어요ㆍ
봉지에 담아 손잡이 상자에 담아주시네요ㆍ
만두 안먹는 8살딸램 한입 먹어보곤 
만두만 찾아요 ㅠㅠ
이집만두 택배되는지 알아봐야겠쓰요ㆍ
고기만두도 김치만두도 맛나네요",5
가메골손왕만두 남대문본점,고기만두 맛있다.,4
가메골손왕만두 남대문본점,"오 은근 맛있음
1층에선 만두만들고, 2층 3층에 자리가 있는데
좁고 붐비는 시장 만두집의 느낌도 좋고
고기만두2개 김치만두2개 섞어서 주문받아주시는 융통성도 짱임
만두피가 두꺼운데 쬔득쫀득함 
담엔 칼국수도 먹어야징",4
가메골손왕만두 남대문본점,고기만두가 특히 맛있고 찐빵도 달지않고 맛있었어요,5
가메골손왕만두 남대문본점,"고기만두, 김치만두
새우만두 

잔치국수육수+칼국수면=손칼국수 

매장식사는 미로길같은 3층구조라 좀 불안

만두맛으로만 좋음",4
가메골손왕만두 남대문본점,"간식으로 많이 사먹음
고기만두",3
가메골손왕만두 남대문본점,인생만두,5
가메골손왕만두 남대문본점,비빔국수 / 고기왕만두 / 김치왕만두,4
가메골손왕만두 남대문본점,3.5 만두,3
가메골손왕만두 남대문본점,만두가 식어도 맛났었어요.,4
가메골손왕만두 남대문본점,점심 2차로 ㅋㅋㅋ,4
가메골손왕만두 남대문본점,왕만두,3
가메골손왕만두 남대문본점,"만두 짱&hearts;
매운맛 순한맛 반반해서 테이크아웃하면
세상행복!!",5
가메골손왕만두 남대문본점,been,3
가메골손왕만두 남대문본점,"맛나지~~
옛맛집이라 줄이랑 분주함 자리 불편함은 감수해야함",4
가메골손왕만두 남대문본점,"20개포장 해왔다 ₩12,000
매운맛이 좀더 괜찮은듯
만두피가 찐빵같은게 찐빵 만두맛 같은 느낌 ㅋㅋ
간식으로 하나씩 먹기에 좋음
남대문에 간다면 먹어볼만하다",3
가메골손왕만두 남대문본점,만두가 크고 맛있다. 만두만 파는 이유가 있는 듯,4
가메골손왕만두 남대문본점,"짱 맛있어요 김치만두 먹고 만족해보긴 처음...김치가 맛있나봅니다
칼국수도 되게 맛있어서 흡입했습니다.",5
가메골손왕만두 남대문본점,"오늘 점심 맛있게 먹었습니다 
칼국수 5천원 + 고기만두 4천원에 4개
육즙이 촵촵^^
제로페이도 되고
포장줄이 길더군요
내부는 다행히 자리가 있어 12시반에 갔는데도 기다리지않고 바로 먹을수 있었어요 
담엔 찐빵 먹어보려구요~",4
가메골손왕만두 남대문본점,맛있음,4
가메골손왕만두 남대문본점,남대문시장에서 왕만두로 유명한 집이지만 오히려 멸치 베이스의 매콤구수한 칼국수가 더 훌륭하다. 속풀이에도 굿 !!!,3
가메골손왕만두 남대문본점,"아 맛있다 칼국수도 기대 안했는데 기대이상
직원들도 친절하고 만두도 맛있다",5
가메골손왕만두 남대문본점,두툼한 만두피  만두의 정석,4
가메골손왕만두 남대문본점,"맛은 최고, 서비스는 꽝 그래서 -1점~^",4
가메골손왕만두 남대문본점,한입베어물면 흐르는 즙.... 너무 맛나요,5
가메골손왕만두 남대문본점,김치왕만두 두번머겅 세번머겅 &hearts;&hearts; 개존맛탱,5
가메골손왕만두 남대문본점,피가 얇아서 제 입맛에 맞더라구요. 5개 45초컷. 쿰~척!,5
가메골손왕만두 남대문본점,김치만두 추천합니다. 칼칼한 매운맛아닌 김치+고기라 살짝 매콤한 맛,4
가메골손왕만두 남대문본점,맛있음 피가 쫄깃함,4
가메골손왕만두 남대문본점,"예전엔 정말 싸고 맛있었음

지금은 중상 정도 수준?

세상이 변하는 것처럼 맛집도 변하는 것인가..",3
가메골손왕만두 남대문본점,고기만두보다 김치만두가 더 맛있었어요,3
가메골손왕만두 남대문본점,"맛있고 가성비 짱.
위생과 시설이 살짝 아쉬움",4
가메골손왕만두 남대문본점,만두 맛있음 칼국수 맛있음,5
가메골손왕만두 남대문본점,"앙꼬가 맛있네요^~^
개인적으론 김치만두가 더 맛있었어용-!",4
가메골손왕만두 남대문본점,피가 얇고 속이 가득찬 내가 조아하는 스타일의 만두는 아닌데 8천원에 12개 충분히 잘먹었음. 담에 또 갈듯,5
